Gender,Scholarship holder,Debtor,Tuition fees up to date,Displaced,Educational special needs,International,Daytime/evening attendance,Mother's qualification,Father's qualification,Course,Application mode,Application order,Mother's occupation,Father's occupation,Previous qualification,Marital status,Nacionality,Previous qualification (grade),Admission grade,Age at enrollment,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Unemployment rate,Inflation rate,GDP,approval_rate_sem1,grade_momentum,evaluation_intensity_sem1,credit_utilization_sem1,financial_stress,parent_education,disengagement_sem1,perfect_sem1
1,1,0,1,0,0,0,1,1,19,9003,44,1,4,10,39,1,1,150.0,150.0,21.0,0.0,6.0,8.0,6.0,13.0,0.0,15.5,2.8,-4.06,100.0,-2.0,1.3333333333333333,0.0,0,10.0,0,1
0,0,0,1,0,0,0,1,38,37,9003,39,1,9,9,1,2,1,130.0,144.0,29.0,13.0,18.0,20.0,18.0,15.444444444444445,0.0,15.5,2.8,-4.06,100.0,1.0444444444444443,1.1111111111111112,0.7222222222222222,1,37.5,0,1
0,0,0,1,1,0,0,1,37,37,9070,1,5,9,9,1,1,1,124.0,113.9,20.0,0.0,6.0,6.0,6.0,11.166666666666666,0.0,7.6,2.6,0.32,100.0,-0.2233333333333345,1.0,0.0,1,37.0,0,1
1,0,1,1,1,0,0,1,1,1,9070,16,2,3,1,1,1,1,137.0,141.2,19.0,0.0,6.0,11.0,5.0,11.2,0.0,9.4,-0.8,-3.12,83.33333333333334,-2.92,1.8333333333333333,0.0,2,1.0,0,0
0,1,1,0,0,0,0,1,1,1,9085,18,4,4,5,1,1,1,170.0,166.6,20.0,2.0,5.0,8.0,5.0,14.4,1.0,12.7,3.7,-1.7,100.0,-2.26,1.6,0.4,2,1.0,1,1
0,0,0,1,1,0,0,1,19,12,9853,1,1,9,4,1,1,1,130.0,133.2,19.0,0.0,6.0,6.0,6.0,14.166666666666666,0.0,7.6,2.6,0.32,100.0,0.8466666666666676,1.0,0.0,1,15.5,0,1
0,0,1,1,1,0,0,1,19,1,9254,17,1,5,7,1,1,1,128.0,120.7,18.0,0.0,6.0,8.0,6.0,11.666666666666666,0.0,13.9,-0.3,0.79,100.0,-0.4033333333333342,1.3333333333333333,0.0,2,10.0,0,1
1,0,1,1,0,0,0,0,37,37,9991,39,1,9,7,19,2,1,133.1,114.8,50.0,0.0,5.0,10.0,5.0,11.857142857142858,0.0,16.2,0.3,-0.92,100.0,0.3771428571428572,2.0,0.0,2,37.0,0,1
0,0,0,1,1,0,0,1,19,19,9147,18,1,9,5,1,1,1,128.0,121.7,19.0,0.0,5.0,8.0,5.0,11.0,0.0,12.4,0.5,1.79,100.0,-1.17,1.6,0.0,1,19.0,0,1
0,0,1,0,0,0,0,1,19,19,9147,51,1,9,7,1,1,1,140.0,120.4,32.0,14.0,15.0,17.0,14.0,10.214285714285714,0.0,16.2,0.3,-0.92,93.33333333333333,-1.8257142857142874,1.1333333333333333,0.9333333333333333,3,19.0,0,0
0,0,0,1,1,0,0,1,19,37,9500,17,4,4,8,1,1,1,140.0,133.3,19.0,0.0,7.0,7.0,6.0,11.966666666666669,0.0,7.6,2.6,0.32,85.71428571428571,-1.3633333333333333,1.0,0.0,1,28.0,0,0
1,1,1,1,1,0,0,1,1,19,9773,17,4,9,8,1,1,1,121.0,120.3,19.0,0.0,6.0,6.0,6.0,13.666666666666666,0.0,8.9,1.4,3.51,100.0,1.6366666666666667,1.0,0.0,1,10.0,0,1
0,1,0,1,1,0,0,1,38,38,9238,1,1,8,7,1,1,1,115.0,112.9,19.0,0.0,6.0,7.0,6.0,11.857142857142858,0.0,12.4,0.5,1.79,100.0,0.5671428571428567,1.1666666666666667,0.0,0,38.0,0,1
1,0,0,1,0,0,0,1,37,37,9254,39,1,9,9,1,1,1,130.0,126.5,26.0,0.0,6.0,7.0,6.0,12.428571428571429,0.0,7.6,2.6,0.32,100.0,-0.22142857142857153,1.1666666666666667,0.0,1,37.0,0,1
1,0,0,1,0,0,0,1,3,19,9003,39,1,4,6,3,2,1,110.0,150.0,32.0,0.0,6.0,8.0,6.0,18.875,0.0,16.2,0.3,-0.92,100.0,3.875,1.3333333333333333,0.0,1,11.0,0,1
0,1,0,1,1,0,0,1,19,38,9500,1,4,7,7,1,1,1,122.0,117.1,18.0,0.0,7.0,7.0,7.0,14.572857142857142,0.0,12.4,0.5,1.79,100.0,2.862857142857143,1.0,0.0,0,28.5,0,1
1,0,1,0,0,0,0,0,37,37,9991,39,1,9,9,1,2,1,133.1,132.8,45.0,0.0,5.0,9.0,0.0,0.0,0.0,12.4,0.5,1.79,0.0,-13.280000000000001,1.8,0.0,3,37.0,0,0
0,0,0,1,1,0,0,1,3,38,9773,1,3,2,10,1,1,1,175.0,157.5,19.0,0.0,6.0,8.0,6.0,13.166666666666666,0.0,10.8,1.4,1.74,100.0,-2.583333333333334,1.3333333333333333,0.0,1,20.5,0,1
0,1,0,1,1,0,0,1,1,1,9147,1,3,5,7,1,1,1,143.0,133.2,18.0,0.0,5.0,11.0,4.0,14.25,0.0,12.7,3.7,-1.7,80.0,0.9300000000000015,2.2,0.0,0,1.0,0,0
1,0,0,1,1,0,0,0,37,37,9991,43,1,9,9,1,1,1,140.0,135.8,25.0,14.0,15.0,16.0,15.0,10.8,0.0,9.4,-0.8,-3.12,100.0,-2.780000000000001,1.0666666666666667,0.9333333333333333,1,37.0,0,1
0,1,0,1,1,0,0,1,38,37,9085,43,1,6,6,39,1,1,150.0,150.0,21.0,2.0,7.0,15.0,3.0,13.0,2.0,10.8,1.4,1.74,42.857142857142854,-2.0,2.142857142857143,0.2857142857142857,0,37.5,1,0
0,1,0,1,1,0,0,1,38,38,9500,1,6,9,9,1,1,1,133.0,128.8,18.0,0.0,7.0,11.0,6.0,11.994444444444444,0.0,15.5,2.8,-4.06,85.71428571428571,-0.8855555555555572,1.5714285714285714,0.0,0,38.0,0,0
0,1,0,1,1,0,0,1,1,1,9500,17,3,9,9,1,1,1,133.0,128.5,18.0,0.0,7.0,7.0,7.0,14.868571428571428,0.0,11.1,0.6,2.02,100.0,2.0185714285714287,1.0,0.0,0,1.0,0,1
0,1,0,1,1,0,0,1,1,1,9238,17,1,3,3,1,1,1,116.0,119.2,18.0,0.0,6.0,6.0,6.0,14.0,0.0,8.9,1.4,3.51,100.0,2.08,1.0,0.0,0,1.0,0,1
0,0,0,1,0,0,0,1,38,37,9853,1,1,6,6,1,1,1,129.0,138.1,19.0,0.0,6.0,8.0,6.0,12.0,0.0,7.6,2.6,0.32,100.0,-1.8099999999999987,1.3333333333333333,0.0,1,37.5,0,1
1,0,0,1,1,0,0,1,1,1,171,1,1,4,1,1,1,1,132.0,119.4,20.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,1.4,1.74,0.0,-11.940000000000001,0.0,0.0,1,1.0,0,1
0,0,0,1,0,0,1,1,19,1,9085,10,2,4,9,1,1,22,163.3,163.3,18.0,0.0,6.0,10.0,6.0,13.5,0.0,12.4,0.5,1.79,100.0,-2.830000000000002,1.6666666666666667,0.0,1,10.0,0,1
0,0,0,1,1,0,0,1,3,3,9773,1,2,3,2,1,1,1,144.0,140.2,20.0,0.0,6.0,0.0,0.0,0.0,0.0,16.2,0.3,-0.92,0.0,-14.02,0.0,0.0,1,3.0,0,0
1,0,0,1,0,0,0,1,3,1,9119,7,1,2,5,40,1,1,140.0,140.0,23.0,0.0,5.0,5.0,5.0,13.8,0.0,11.1,0.6,2.02,100.0,-0.1999999999999993,1.0,0.0,1,2.0,0,1
0,0,0,1,0,0,0,1,3,19,9147,1,1,2,10,1,1,1,134.0,128.8,18.0,0.0,5.0,10.0,5.0,13.375,0.0,13.9,-0.3,0.79,100.0,0.4949999999999992,2.0,0.0,1,11.0,0,1
1,0,0,0,1,0,0,1,37,37,171,1,2,9,9,1,1,1,129.0,122.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,2.6,0.32,0.0,-12.2,0.0,0.0,2,37.0,0,1
0,0,0,1,0,0,0,1,9,22,9147,1,1,4,3,1,1,1,112.0,106.1,20.0,0.0,5.0,13.0,2.0,10.0,1.0,9.4,-0.8,-3.12,40.0,-0.6099999999999994,2.6,0.0,1,15.5,1,0
1,0,1,1,0,0,0,1,19,19,9119,39,1,0,5,1,2,1,110.0,137.0,30.0,0.0,5.0,5.0,0.0,0.0,0.0,7.6,2.6,0.32,0.0,-13.7,1.0,0.0,2,19.0,0,0
0,1,0,1,0,0,0,1,38,38,9773,1,3,9,5,1,1,1,145.0,133.1,20.0,0.0,6.0,9.0,4.0,13.0,0.0,10.8,1.4,1.74,66.66666666666666,-0.3099999999999987,1.5,0.0,0,38.0,0,0
0,1,0,1,1,0,0,1,19,38,9500,17,1,7,7,1,1,1,140.0,136.5,18.0,0.0,7.0,7.0,7.0,14.838571428571427,0.0,12.4,0.5,1.79,100.0,1.1885714285714268,1.0,0.0,0,28.5,0,1
0,0,0,1,1,0,0,1,1,19,9085,1,1,4,9,1,1,1,125.0,114.5,24.0,0.0,5.0,6.0,5.0,13.0,1.0,12.7,3.7,-1.7,100.0,1.5500000000000007,1.2,0.0,1,10.0,1,1
0,1,0,1,0,0,0,1,37,38,9773,1,1,7,7,1,1,1,126.0,119.0,18.0,0.0,6.0,6.0,6.0,12.166666666666666,0.0,15.5,2.8,-4.06,100.0,0.2666666666666657,1.0,0.0,0,37.5,0,1
0,1,0,1,1,0,0,1,19,37,171,1,1,9,7,1,1,1,169.0,176.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.5,1.79,0.0,-17.6,0.0,0.0,0,28.0,0,1
1,1,0,1,0,0,0,1,19,19,9119,1,1,4,4,1,1,1,168.0,171.2,18.0,0.0,5.0,6.0,5.0,17.333333333333332,0.0,12.4,0.5,1.79,100.0,0.2133333333333347,1.2,0.0,0,19.0,0,1
0,0,0,1,0,0,0,1,37,37,9254,42,1,4,9,2,5,1,120.0,120.0,32.0,9.0,15.0,21.0,13.0,12.692307692307692,0.0,10.8,1.4,1.74,86.66666666666667,0.6923076923076916,1.4,0.6,1,37.0,0,0
0,0,0,1,0,0,0,1,37,19,9853,43,1,9,8,1,1,1,140.0,122.3,22.0,0.0,6.0,9.0,5.0,13.6,0.0,12.7,3.7,-1.7,83.33333333333334,1.3699999999999992,1.5,0.0,1,28.0,0,0
0,0,0,1,0,0,0,1,1,19,9085,53,1,4,7,42,1,1,170.0,170.0,20.0,7.0,11.0,13.0,11.0,15.692307692307692,0.0,8.9,1.4,3.51,100.0,-1.3076923076923084,1.1818181818181819,0.6363636363636364,1,10.0,0,1
0,0,0,1,1,0,0,1,19,38,9254,17,2,5,5,1,1,1,116.0,116.0,19.0,0.0,6.0,7.0,6.0,12.714285714285714,0.0,8.9,1.4,3.51,100.0,1.1142857142857139,1.1666666666666667,0.0,1,28.5,0,1
0,0,0,0,1,0,0,1,19,37,171,1,1,7,7,1,1,1,138.0,124.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,1.4,1.74,0.0,-12.4,0.0,0.0,2,28.0,0,1
0,1,0,1,1,0,0,1,1,29,9130,43,1,4,90,6,1,1,133.1,123.3,21.0,0.0,5.0,7.0,0.0,0.0,0.0,7.6,2.6,0.32,0.0,-12.33,1.4,0.0,0,15.0,0,0
0,0,0,0,1,0,0,1,1,37,9130,44,1,4,8,39,1,1,150.0,150.0,22.0,1.0,6.0,10.0,3.0,12.666666666666666,0.0,15.5,2.8,-4.06,50.0,-2.333333333333334,1.6666666666666667,0.16666666666666666,2,19.0,0,0
1,0,0,1,0,0,0,1,3,1,9003,42,1,2,2,1,2,1,120.0,113.3,26.0,0.0,6.0,9.0,1.0,10.0,0.0,12.4,0.5,1.79,16.666666666666664,-1.33,1.5,0.0,1,2.0,0,0
0,0,0,1,1,0,0,1,19,19,9853,18,1,9,7,1,1,1,123.0,117.4,19.0,0.0,6.0,0.0,0.0,0.0,0.0,11.1,0.6,2.02,0.0,-11.74,0.0,0.0,1,19.0,0,0
0,1,0,1,0,0,0,1,19,1,9500,51,1,5,9,1,1,1,127.0,150.0,19.0,0.0,7.0,9.0,5.0,13.85,0.0,11.1,0.6,2.02,71.42857142857143,-1.1500000000000004,1.2857142857142858,0.0,0,10.0,0,0
0,0,0,1,0,0,0,1,19,19,9085,39,1,4,10,1,1,1,150.0,100.0,24.0,1.0,6.0,11.0,5.0,13.0,0.0,13.9,-0.3,0.79,83.33333333333334,3.0,1.8333333333333333,0.16666666666666666,1,19.0,0,0
0,0,0,1,0,0,0,1,37,37,9670,1,1,5,5,1,1,1,125.0,124.0,19.0,0.0,6.0,7.0,6.0,14.857142857142858,0.0,12.4,0.5,1.79,100.0,2.4571428571428573,1.1666666666666667,0.0,1,37.0,0,1
0,0,0,1,1,0,0,1,19,19,9238,1,4,4,0,1,1,1,127.0,127.4,20.0,0.0,6.0,8.0,6.0,11.166666666666666,0.0,7.6,2.6,0.32,100.0,-1.5733333333333341,1.3333333333333333,0.0,1,19.0,0,1
1,0,0,1,0,0,0,1,1,1,9500,1,1,9,9,1,1,1,129.0,120.0,20.0,0.0,8.0,8.0,7.0,15.028571428571428,0.0,12.7,3.7,-1.7,87.5,3.0285714285714285,1.0,0.0,1,1.0,0,0
0,0,0,1,1,1,0,1,19,19,171,1,4,4,4,1,1,1,131.0,119.8,22.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,0.3,-0.92,0.0,-11.98,0.0,0.0,1,19.0,0,1
0,0,0,1,1,0,0,1,19,19,9085,10,1,4,5,1,1,1,140.0,140.0,21.0,0.0,5.0,6.0,5.0,14.2,0.0,10.8,1.4,1.74,100.0,0.1999999999999993,1.2,0.0,1,19.0,0,1
0,1,1,1,1,0,0,1,37,1,9147,17,1,9,9,1,1,1,138.0,123.7,19.0,0.0,5.0,5.0,4.0,11.0,0.0,11.1,0.6,2.02,80.0,-1.370000000000001,1.0,0.0,1,19.0,0,0
0,1,0,1,1,0,0,1,37,37,9500,1,1,9,9,1,1,1,154.0,149.5,30.0,0.0,7.0,8.0,7.0,14.9125,0.0,13.9,-0.3,0.79,100.0,-0.037499999999999645,1.1428571428571428,0.0,0,37.0,0,1
0,0,0,1,0,0,0,1,1,19,9670,39,1,5,4,1,1,1,120.0,140.4,31.0,2.0,6.0,13.0,5.0,11.4,0.0,13.9,-0.3,0.79,83.33333333333334,-2.6400000000000006,2.1666666666666665,0.3333333333333333,1,10.0,0,0
0,0,0,1,0,0,0,1,37,37,9003,7,1,6,6,3,1,1,120.0,120.0,54.0,9.0,13.0,13.0,13.0,14.307692307692308,0.0,15.5,2.8,-4.06,100.0,2.3076923076923084,1.0,0.6923076923076923,1,37.0,0,1
1,1,0,1,1,0,0,1,37,37,9670,17,1,9,9,1,1,1,125.0,121.5,21.0,0.0,6.0,8.0,4.0,14.75,0.0,12.7,3.7,-1.7,66.66666666666666,2.5999999999999996,1.3333333333333333,0.0,0,37.0,0,0
1,0,0,1,0,0,0,1,19,38,9119,1,1,9,7,1,1,1,148.0,133.0,18.0,0.0,5.0,12.0,5.0,13.285714285714286,0.0,12.4,0.5,1.79,100.0,-0.014285714285714235,2.4,0.0,1,28.5,0,1
0,0,0,1,1,0,0,1,19,19,9773,1,4,9,7,1,1,1,122.0,121.0,20.0,0.0,6.0,7.0,6.0,13.571428571428571,0.0,13.9,-0.3,0.79,100.0,1.4714285714285715,1.1666666666666667,0.0,1,19.0,0,1
0,0,0,1,1,0,0,1,38,37,9147,1,1,9,8,1,2,1,151.0,132.1,34.0,0.0,5.0,7.0,2.0,10.0,0.0,7.6,2.6,0.32,40.0,-3.209999999999999,1.4,0.0,1,37.5,0,0
0,1,0,1,0,0,0,1,19,19,9500,1,1,4,9,1,1,1,160.0,154.4,18.0,0.0,7.0,9.0,7.0,15.116666666666667,0.0,15.5,2.8,-4.06,100.0,-0.32333333333333414,1.2857142857142858,0.0,0,19.0,0,1
1,0,0,1,0,0,0,1,3,1,9130,1,1,2,4,1,1,1,133.0,126.0,18.0,0.0,5.0,7.0,3.0,13.666666666666666,0.0,7.6,2.6,0.32,60.0,1.0666666666666664,1.4,0.0,1,2.0,0,0
1,0,0,1,1,0,0,1,3,1,9773,1,3,2,4,1,1,1,135.0,129.8,20.0,0.0,6.0,6.0,5.0,12.8,0.0,15.5,2.8,-4.06,83.33333333333334,-0.17999999999999972,1.0,0.0,1,2.0,0,0
0,0,0,1,1,0,0,1,38,37,9500,18,1,5,5,1,1,1,126.0,114.8,20.0,0.0,8.0,8.0,7.0,14.402857142857142,0.0,10.8,1.4,1.74,87.5,2.9228571428571417,1.0,0.0,1,37.5,0,0
1,0,0,1,0,0,1,1,19,19,9238,15,1,9,6,1,1,26,140.0,140.0,21.0,0.0,6.0,7.0,6.0,12.333333333333334,0.0,11.1,0.6,2.02,100.0,-1.666666666666666,1.1666666666666667,0.0,1,19.0,0,1
0,1,0,1,1,0,0,1,19,38,9238,17,1,4,9,1,1,1,139.0,146.7,20.0,0.0,6.0,6.0,6.0,13.333333333333334,0.0,15.5,2.8,-4.06,100.0,-1.3366666666666642,1.0,0.0,0,28.5,0,1
0,1,0,1,1,0,0,1,1,38,9147,1,3,3,8,1,1,1,115.0,109.8,19.0,0.0,5.0,5.0,5.0,13.4,0.0,8.9,1.4,3.51,100.0,2.42,1.0,0.0,0,19.5,0,1
0,1,0,1,0,0,0,1,37,38,9670,1,2,9,9,1,1,1,144.0,126.9,21.0,0.0,5.0,5.0,5.0,13.2,0.0,9.4,-0.8,-3.12,100.0,0.509999999999998,1.0,0.0,0,37.5,0,1
1,0,0,0,1,0,0,0,34,34,9991,7,1,99,99,3,2,1,140.0,140.0,33.0,0.0,5.0,5.0,0.0,0.0,0.0,7.6,2.6,0.32,0.0,-14.0,1.0,0.0,2,34.0,0,0
1,0,0,1,0,0,0,0,37,1,8014,43,1,9,10,12,1,1,133.1,112.5,50.0,6.0,13.0,13.0,6.0,11.333333333333334,0.0,16.2,0.3,-0.92,46.15384615384615,0.08333333333333393,1.0,0.46153846153846156,1,19.0,0,0
1,1,0,1,0,0,0,1,37,1,9147,39,1,7,3,1,1,1,150.0,148.8,25.0,0.0,5.0,7.0,4.0,14.25,0.0,12.7,3.7,-1.7,80.0,-0.6300000000000008,1.4,0.0,0,19.0,0,0
0,0,1,1,1,0,0,1,19,19,9254,17,2,9,7,1,1,1,115.0,113.3,21.0,0.0,6.0,0.0,0.0,0.0,0.0,11.1,0.6,2.02,0.0,-11.33,0.0,0.0,2,19.0,0,0
0,1,0,1,1,0,0,1,19,38,9500,1,2,7,9,1,1,1,133.1,125.5,21.0,0.0,7.0,9.0,7.0,13.2,0.0,15.5,2.8,-4.06,100.0,0.6499999999999986,1.2857142857142858,0.0,0,28.5,0,1
0,0,0,1,0,0,0,0,37,37,9991,43,1,9,9,1,1,1,141.0,131.9,21.0,6.0,10.0,20.0,6.0,11.5,0.0,9.4,-0.8,-3.12,60.0,-1.6900000000000013,2.0,0.6,1,37.0,0,0
1,0,1,0,1,0,1,1,19,1,9238,15,1,9,9,1,1,26,150.0,146.5,22.0,0.0,6.0,10.0,5.0,11.5,0.0,13.9,-0.3,0.79,83.33333333333334,-3.1500000000000004,1.6666666666666667,0.0,3,10.0,0,0
0,0,0,0,1,0,0,1,1,19,9147,1,2,9,9,1,1,1,121.0,113.7,20.0,0.0,5.0,10.0,2.0,10.0,0.0,7.6,2.6,0.32,40.0,-1.370000000000001,2.0,0.0,2,10.0,0,0
0,0,0,1,1,0,0,1,37,19,9853,1,5,9,5,1,1,1,141.0,133.0,18.0,0.0,6.0,8.0,5.0,12.4,0.0,9.4,-0.8,-3.12,83.33333333333334,-0.9000000000000004,1.3333333333333333,0.0,1,28.0,0,0
0,0,0,1,0,0,0,1,37,1,9147,1,1,9,10,1,1,1,133.1,100.0,21.0,0.0,5.0,12.0,3.0,12.0,0.0,16.2,0.3,-0.92,60.0,2.0,2.4,0.0,1,19.0,0,0
0,0,0,1,1,0,0,1,37,37,9085,44,1,9,9,39,1,1,160.0,160.0,20.0,1.0,6.0,7.0,6.0,14.166666666666666,0.0,12.4,0.5,1.79,100.0,-1.833333333333334,1.1666666666666667,0.16666666666666666,1,37.0,0,1
0,0,0,0,0,0,0,1,1,1,9085,17,2,9,10,1,1,1,120.0,115.0,20.0,0.0,5.0,8.0,2.0,10.5,0.0,7.6,2.6,0.32,40.0,-1.0,1.6,0.0,2,1.0,0,0
0,0,0,0,0,0,0,1,19,1,9853,39,1,9,4,1,1,1,140.0,128.2,30.0,0.0,6.0,0.0,0.0,0.0,0.0,12.7,3.7,-1.7,0.0,-12.819999999999999,0.0,0.0,2,10.0,0,0
0,1,0,1,1,0,0,1,3,3,9500,1,2,2,2,1,1,1,138.0,127.5,18.0,0.0,7.0,7.0,7.0,14.485714285714286,0.0,16.2,0.3,-0.92,100.0,1.7357142857142858,1.0,0.0,0,3.0,0,1
0,0,0,1,1,0,0,1,1,19,9773,1,2,4,5,1,1,1,127.0,120.4,18.0,0.0,5.0,7.0,2.0,10.0,0.0,12.7,3.7,-1.7,40.0,-2.040000000000001,1.4,0.0,1,10.0,0,0
