Gender,Scholarship holder,Debtor,Tuition fees up to date,Displaced,Educational special needs,International,Daytime/evening attendance,Mother's qualification,Father's qualification,Previous qualification (grade),Admission grade,Age at enrollment,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,approval_rate_sem1,approval_rate_sem2,grade_momentum,grade_decline,evaluation_intensity_sem1,credit_utilization_sem1,total_course_load,financial_stress,parent_education,disengagement_sem1,perfect_sem1,failed_units_sem1,failed_units_sem2,failed_units_total,grade_per_approved_unit_sem1,Course,Application mode,Application order,Mother's occupation,Father's occupation,Previous qualification,Marital status,Nacionality
0,0,0,1,0,0,0,1,38,19,119.0,118.3,19.0,0.0,6.0,8.0,4.0,11.25,0.0,0.0,6.0,0.0,0.0,0.0,0.0,15.5,2.8,-4.06,66.66666666666666,0.0,-0.5800000000000001,11.25,1.3333333333333333,0.0,12.0,1,28.5,0,0,2.0,6.0,8.0,2.8125,14,4,3,24,33,0,0,0
0,1,0,1,0,0,0,1,37,38,126.0,119.0,18.0,0.0,6.0,6.0,6.0,12.166666666666666,0.0,0.0,6.0,7.0,6.0,12.142857142857142,0.0,15.5,2.8,-4.06,100.0,100.0,0.2666666666666657,0.023809523809523725,1.0,0.0,12.0,0,37.5,0,1,0.0,0.0,0.0,2.0277777777777777,14,0,0,22,31,0,0,0
1,0,0,1,1,0,0,1,19,1,128.0,122.1,19.0,0.0,6.0,9.0,4.0,12.5,0.0,0.0,6.0,6.0,6.0,11.333333333333334,0.0,10.8,1.4,1.74,66.66666666666666,100.0,0.2900000000000009,1.166666666666666,1.5,0.0,12.0,1,10.0,0,0,2.0,0.0,2.0,3.125,14,5,2,24,33,0,0,0
1,0,0,1,1,0,1,1,38,38,110.0,117.2,28.0,13.0,18.0,45.0,18.0,12.5,12.0,10.0,13.0,26.0,12.0,11.428571428571429,6.0,15.5,2.8,-4.06,100.0,92.3076923076923,0.7799999999999994,1.0714285714285712,2.5,0.7222222222222222,31.0,1,38.0,1,1,0.0,1.0,1.0,0.6944444444444444,5,9,0,24,30,0,0,13
0,0,0,1,0,0,0,1,1,1,141.0,142.8,18.0,0.0,7.0,7.0,7.0,13.7,0.0,0.0,8.0,9.0,8.0,13.994444444444444,0.0,11.1,0.6,2.02,100.0,100.0,-0.5800000000000018,-0.2944444444444443,1.0,0.0,15.0,1,1.0,0,1,0.0,0.0,0.0,1.957142857142857,11,0,0,18,2,0,0,0
1,0,0,1,0,0,0,0,19,37,120.0,132.9,32.0,0.0,5.0,11.0,4.0,10.75,0.0,0.0,5.0,11.0,4.0,11.333333333333334,0.0,13.9,-0.3,0.79,80.0,80.0,-2.540000000000001,-0.5833333333333339,2.2,0.0,10.0,1,28.0,0,0,1.0,1.0,2.0,2.6875,16,7,0,18,33,0,1,0
1,1,1,0,1,0,0,1,2,19,127.0,139.6,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,-0.3,0.79,0.0,0.0,-13.959999999999999,0.0,0.0,0.0,0.0,2,10.5,0,1,0.0,0.0,0.0,0.0,0,0,1,20,29,0,0,0
1,0,0,1,1,0,0,0,3,3,150.0,100.0,24.0,0.0,5.0,10.0,4.0,11.5,0.0,0.0,5.0,11.0,5.0,11.285714285714286,0.0,13.9,-0.3,0.79,80.0,100.0,1.5,0.21428571428571352,2.0,0.0,10.0,1,3.0,0,0,1.0,0.0,1.0,2.875,16,9,0,19,28,0,0,0
0,1,0,1,1,0,0,1,1,19,117.0,113.5,18.0,0.0,6.0,6.0,6.0,13.166666666666666,0.0,0.0,6.0,7.0,6.0,14.142857142857142,0.0,11.1,0.6,2.02,100.0,100.0,1.8166666666666664,-0.9761904761904763,1.0,0.0,12.0,0,10.0,0,1,0.0,0.0,0.0,2.194444444444444,9,0,0,19,31,0,0,0
0,0,0,1,1,0,0,1,38,19,136.0,121.7,18.0,0.0,6.0,6.0,2.0,13.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,12.4,0.5,1.79,33.33333333333333,0.0,0.8300000000000001,13.0,1.0,0.0,12.0,1,28.5,0,0,4.0,6.0,10.0,6.5,4,4,0,22,31,0,0,0
0,0,0,1,1,0,0,1,1,38,147.0,141.1,20.0,0.0,7.0,9.0,6.0,13.0,0.0,0.0,8.0,8.0,8.0,14.2125,0.0,13.9,-0.3,0.79,85.71428571428571,100.0,-1.1099999999999994,-1.2125000000000004,1.2857142857142858,0.0,15.0,1,19.5,0,0,1.0,0.0,1.0,2.1666666666666665,11,4,5,19,32,0,0,0
1,0,0,1,0,0,0,1,2,4,120.0,136.6,23.0,0.0,7.0,14.0,5.0,11.94,0.0,0.0,7.0,14.0,6.0,12.2,0.0,13.9,-0.3,0.79,71.42857142857143,85.71428571428571,-1.7200000000000006,-0.2599999999999998,2.0,0.0,14.0,1,3.0,0,0,2.0,1.0,3.0,2.388,11,9,0,19,29,0,0,0
0,1,0,1,0,0,0,1,19,37,133.1,120.0,25.0,0.0,8.0,8.0,7.0,12.042857142857144,0.0,0.0,8.0,8.0,7.0,12.042857142857144,0.0,12.7,3.7,-1.7,87.5,87.5,0.04285714285714448,0.0,1.0,0.0,16.0,0,28.0,0,0,1.0,1.0,2.0,1.7204081632653063,11,7,0,24,33,0,0,0
0,0,0,1,0,0,0,1,38,19,142.0,128.4,23.0,0.0,6.0,11.0,6.0,11.875,0.0,0.0,6.0,9.0,5.0,12.833333333333334,0.0,11.1,0.6,2.02,100.0,83.33333333333334,-0.9649999999999999,-0.9583333333333339,1.8333333333333333,0.0,12.0,1,28.5,0,1,0.0,1.0,1.0,1.9791666666666667,13,0,0,22,2,0,0,0
0,0,1,1,0,0,0,0,37,37,133.1,105.3,28.0,0.0,5.0,14.0,2.0,10.5,0.0,0.0,5.0,6.0,0.0,0.0,0.0,12.4,0.5,1.79,40.0,0.0,-0.02999999999999936,10.5,2.8,0.0,10.0,2,37.0,0,0,3.0,5.0,8.0,5.25,16,7,0,24,30,3,0,0
1,0,0,1,0,0,0,0,37,37,120.0,117.0,33.0,0.0,6.0,8.0,6.0,12.0,0.0,0.0,6.0,6.0,6.0,11.666666666666666,0.0,10.8,1.4,1.74,100.0,100.0,0.3000000000000007,0.3333333333333339,1.3333333333333333,0.0,12.0,1,37.0,0,1,0.0,0.0,0.0,2.0,2,7,0,24,30,0,1,0
0,1,0,1,0,0,0,1,38,38,143.0,141.6,19.0,6.0,12.0,12.0,11.0,13.090909090909092,0.0,5.0,11.0,12.0,11.0,12.083333333333334,0.0,10.8,1.4,1.74,91.66666666666666,100.0,-1.0690909090909084,1.0075757575757578,1.0,0.5,23.0,0,38.0,0,0,1.0,0.0,1.0,1.1900826446280992,4,5,0,22,29,0,0,0
0,0,1,0,0,0,1,1,3,3,108.0,107.0,19.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,8.9,1.4,3.51,0.0,0.0,-10.7,0.0,2.8,0.0,10.0,3,3.0,0,0,5.0,5.0,10.0,0.0,8,0,0,24,33,0,0,15
0,0,0,1,1,0,0,1,38,37,141.0,126.3,18.0,0.0,8.0,8.0,7.0,13.297142857142855,0.0,0.0,8.0,8.0,7.0,13.297142857142855,0.0,10.8,1.4,1.74,87.5,87.5,0.6671428571428564,0.0,1.0,0.0,16.0,1,37.5,0,0,1.0,1.0,2.0,1.8995918367346936,11,4,3,18,27,0,0,0
0,0,0,1,0,0,0,1,37,37,133.1,108.0,20.0,0.0,7.0,8.0,7.0,12.457142857142856,0.0,0.0,8.0,8.0,8.0,13.5625,0.0,15.5,2.8,-4.06,100.0,100.0,1.6571428571428548,-1.1053571428571445,1.1428571428571428,0.0,15.0,1,37.0,0,1,0.0,0.0,0.0,1.7795918367346937,12,4,1,18,2,0,0,0
1,0,0,0,0,0,0,1,1,1,137.0,124.5,26.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,16.2,0.3,-0.92,0.0,0.0,-12.45,0.0,0.0,0.0,12.0,2,1.0,0,0,6.0,6.0,12.0,0.0,10,7,0,20,2,7,0,0
0,0,0,1,1,0,0,1,19,19,147.0,151.9,21.0,13.0,17.0,20.0,17.0,12.0,0.0,14.0,17.0,18.0,17.0,12.666666666666666,0.0,11.1,0.6,2.02,100.0,100.0,-3.1900000000000013,-0.6666666666666661,1.1764705882352942,0.7647058823529411,34.0,1,19.0,0,1,0.0,0.0,0.0,0.7058823529411765,0,0,0,18,2,0,0,0
0,1,0,1,1,0,0,1,19,37,140.0,142.5,22.0,7.0,11.0,18.0,8.0,13.5,0.0,4.0,9.0,16.0,7.0,13.714285714285714,0.0,8.9,1.4,3.51,72.72727272727273,77.77777777777779,-0.75,-0.21428571428571352,1.6363636363636365,0.6363636363636364,20.0,0,28.0,0,0,3.0,2.0,5.0,1.6875,5,13,0,24,32,10,0,0
1,0,0,1,0,0,0,1,37,19,133.1,156.5,53.0,7.0,11.0,12.0,2.0,15.0,7.0,4.0,9.0,10.0,3.0,10.0,4.0,16.2,0.3,-0.92,18.181818181818183,33.33333333333333,-0.6500000000000004,5.0,1.0909090909090908,0.6363636363636364,20.0,1,28.0,1,0,9.0,6.0,15.0,7.5,10,7,0,24,2,3,1,0
0,0,0,1,0,0,0,0,37,37,133.1,135.5,58.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,11.1,0.6,2.02,0.0,0.0,-13.55,0.0,1.0,0.0,12.0,1,37.0,0,0,6.0,6.0,12.0,0.0,2,7,0,24,29,3,0,0
0,0,0,1,0,0,0,1,1,38,133.0,128.2,21.0,0.0,5.0,7.0,5.0,12.0,0.0,0.0,5.0,7.0,4.0,12.5,0.0,7.6,2.6,0.32,100.0,80.0,-0.8199999999999985,-0.5,1.4,0.0,10.0,1,19.5,0,1,0.0,1.0,1.0,2.4,5,0,2,24,34,0,0,0
0,0,0,1,0,0,0,0,3,1,150.0,154.0,27.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,12.4,0.5,1.79,0.0,0.0,-15.4,0.0,1.0,0.0,10.0,1,2.0,0,0,5.0,5.0,10.0,0.0,16,7,0,18,33,0,0,0
0,0,0,1,1,0,0,1,3,3,135.0,137.1,18.0,0.0,6.0,8.0,6.0,12.0,0.0,0.0,6.0,8.0,5.0,14.8,0.0,12.4,0.5,1.79,100.0,83.33333333333334,-1.709999999999999,-2.8000000000000007,1.3333333333333333,0.0,12.0,1,3.0,0,1,0.0,1.0,1.0,2.0,7,0,0,17,26,0,0,0
0,0,0,1,1,0,0,1,34,34,132.0,131.3,21.0,0.0,6.0,8.0,5.0,11.8,0.0,0.0,6.0,8.0,4.0,10.5,0.0,7.6,2.6,0.32,83.33333333333334,66.66666666666666,-1.33,1.3000000000000007,1.3333333333333333,0.0,12.0,1,34.0,0,0,1.0,2.0,3.0,2.3600000000000003,15,4,2,0,0,0,0,0
0,1,0,1,0,0,0,1,1,19,161.0,148.4,19.0,0.0,6.0,6.0,6.0,13.833333333333334,0.0,0.0,6.0,7.0,6.0,14.428571428571429,0.0,15.5,2.8,-4.06,100.0,100.0,-1.006666666666666,-0.5952380952380949,1.0,0.0,12.0,0,10.0,0,1,0.0,0.0,0.0,2.305555555555556,14,4,0,19,31,0,0,0
1,0,0,1,0,0,0,1,1,1,148.0,141.4,19.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,15.5,2.8,-4.06,0.0,0.0,-14.14,0.0,0.0,0.0,12.0,1,1.0,0,0,6.0,6.0,12.0,0.0,4,0,0,19,32,0,0,0
0,0,0,1,0,0,0,1,38,31,130.0,124.2,31.0,3.0,7.0,8.0,6.0,13.666666666666666,0.0,1.0,6.0,8.0,5.0,13.5,0.0,9.4,-0.8,-3.12,85.71428571428571,83.33333333333334,1.2466666666666661,0.16666666666666607,1.1428571428571428,0.42857142857142855,13.0,1,34.5,0,0,1.0,1.0,2.0,2.2777777777777777,15,9,1,19,1,0,1,0
1,1,0,1,0,0,0,1,37,37,160.0,160.0,22.0,0.0,6.0,8.0,6.0,13.125,0.0,0.0,6.0,10.0,6.0,13.0,0.0,16.2,0.3,-0.92,100.0,100.0,-2.875,0.125,1.3333333333333333,0.0,12.0,0,37.0,0,1,0.0,0.0,0.0,2.1875,3,10,0,24,33,7,0,0
0,0,0,1,1,0,0,1,19,19,124.0,117.7,18.0,0.0,6.0,10.0,5.0,12.0,0.0,0.0,6.0,11.0,4.0,12.0,0.0,16.2,0.3,-0.92,83.33333333333334,66.66666666666666,0.23000000000000043,0.0,1.6666666666666667,0.0,12.0,1,19.0,0,0,1.0,2.0,3.0,2.4,9,4,3,20,32,0,0,0
0,1,1,1,0,0,0,1,37,37,100.0,120.0,39.0,0.0,5.0,6.0,5.0,10.6,0.0,0.0,5.0,7.0,4.0,10.75,0.0,9.4,-0.8,-3.12,100.0,80.0,-1.4000000000000004,-0.15000000000000036,1.2,0.0,10.0,1,37.0,0,1,0.0,1.0,1.0,2.12,13,7,0,19,2,0,2,0
1,0,0,1,1,0,0,1,3,3,159.0,165.7,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,-0.8,-3.12,0.0,0.0,-16.57,0.0,0.0,0.0,0.0,1,3.0,0,1,0.0,0.0,0.0,0.0,0,0,0,17,26,0,0,0
1,0,0,1,1,0,0,1,3,19,133.1,106.0,21.0,0.0,7.0,8.0,7.0,12.375,0.0,0.0,7.0,11.0,5.0,12.583333333333334,0.0,8.9,1.4,3.51,100.0,71.42857142857143,1.7750000000000004,-0.20833333333333393,1.1428571428571428,0.0,14.0,1,11.0,0,1,0.0,2.0,2.0,1.7678571428571428,12,5,0,17,32,0,0,0
0,0,1,0,0,0,0,1,1,1,133.1,100.0,25.0,0.0,5.0,5.0,5.0,11.2,0.0,0.0,5.0,5.0,5.0,12.6,0.0,9.4,-0.8,-3.12,100.0,100.0,1.1999999999999993,-1.4000000000000004,1.0,0.0,10.0,3,1.0,0,1,0.0,0.0,0.0,2.2399999999999998,13,7,0,19,31,3,0,0
0,1,0,1,1,0,0,1,19,38,112.0,107.1,18.0,0.0,7.0,8.0,7.0,12.142857142857142,0.0,0.0,7.0,9.0,6.0,13.666666666666666,0.0,11.1,0.6,2.02,100.0,85.71428571428571,1.4328571428571433,-1.5238095238095237,1.1428571428571428,0.0,14.0,0,28.5,0,1,0.0,1.0,1.0,1.7346938775510203,15,4,1,20,31,0,0,0
0,0,0,1,1,0,0,1,3,3,150.0,150.0,22.0,2.0,6.0,7.0,6.0,14.428571428571429,0.0,1.0,6.0,9.0,5.0,13.0,0.0,13.9,-0.3,0.79,100.0,83.33333333333334,-0.5714285714285712,1.4285714285714288,1.1666666666666667,0.3333333333333333,12.0,1,3.0,0,1,0.0,1.0,1.0,2.4047619047619047,5,10,0,17,26,7,0,0
0,1,0,1,1,0,0,1,38,38,145.0,125.5,18.0,0.0,8.0,8.0,8.0,13.76375,0.0,0.0,8.0,8.0,8.0,13.76375,0.0,9.4,-0.8,-3.12,100.0,100.0,1.2137499999999992,0.0,1.0,0.0,16.0,0,38.0,0,1,0.0,0.0,0.0,1.72046875,11,0,4,24,33,0,0,0
1,0,0,1,0,0,0,1,19,37,138.0,141.0,19.0,0.0,7.0,7.0,6.0,13.7,0.0,0.0,7.0,7.0,6.0,13.7,0.0,7.6,2.6,0.32,85.71428571428571,85.71428571428571,-0.40000000000000036,0.0,1.0,0.0,14.0,1,28.0,0,0,1.0,1.0,2.0,2.283333333333333,11,0,0,19,33,0,0,0
1,0,0,1,0,0,0,1,37,37,110.0,110.2,55.0,0.0,6.0,6.0,6.0,14.5,0.0,0.0,6.0,6.0,6.0,13.5,0.0,11.1,0.6,2.02,100.0,100.0,3.4800000000000004,1.0,1.0,0.0,12.0,1,37.0,0,1,0.0,0.0,0.0,2.4166666666666665,4,7,0,22,31,0,0,0
0,0,0,1,1,0,0,1,40,43,146.0,150.2,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,0.6,2.02,0.0,0.0,-15.02,0.0,0.0,0.0,0.0,1,41.5,0,1,0.0,0.0,0.0,0.0,0,0,0,19,28,0,0,0
0,0,0,1,1,0,0,1,37,37,126.0,122.8,18.0,0.0,8.0,8.0,8.0,12.93375,0.0,0.0,8.0,8.0,8.0,12.93375,0.0,9.4,-0.8,-3.12,100.0,100.0,0.6537500000000005,0.0,1.0,0.0,16.0,1,37.0,0,1,0.0,0.0,0.0,1.61671875,11,5,5,20,29,0,0,0
1,1,0,1,0,0,0,1,3,19,110.0,109.0,19.0,0.0,6.0,7.0,6.0,13.142857142857142,0.0,0.0,6.0,8.0,6.0,14.166666666666666,0.0,15.5,2.8,-4.06,100.0,100.0,2.242857142857142,-1.0238095238095237,1.1666666666666667,0.0,12.0,0,11.0,0,1,0.0,0.0,0.0,2.1904761904761902,13,0,0,19,29,0,0,0
0,0,0,0,0,0,0,0,19,37,110.0,128.2,22.0,7.0,12.0,12.0,7.0,11.0,0.0,5.0,5.0,5.0,5.0,10.6,0.0,8.9,1.4,3.51,58.333333333333336,100.0,-1.8199999999999985,0.40000000000000036,1.0,0.5833333333333334,17.0,2,28.0,0,0,5.0,0.0,5.0,1.5714285714285714,16,12,0,20,33,10,0,0
0,0,0,1,1,0,0,1,1,1,140.0,128.3,19.0,0.0,8.0,8.0,7.0,12.764285714285714,0.0,0.0,8.0,8.0,7.0,12.764285714285714,0.0,10.8,1.4,1.74,87.5,87.5,-0.06571428571428761,0.0,1.0,0.0,16.0,1,1.0,0,0,1.0,1.0,2.0,1.823469387755102,11,0,1,19,2,0,0,0
0,0,0,1,0,0,0,1,1,3,180.0,180.0,21.0,0.0,6.0,6.0,6.0,15.833333333333334,0.0,0.0,6.0,8.0,6.0,15.5,0.0,15.5,2.8,-4.06,100.0,100.0,-2.166666666666666,0.3333333333333339,1.0,0.0,12.0,1,2.0,0,1,0.0,0.0,0.0,2.638888888888889,3,10,0,19,26,7,0,0
1,0,0,1,1,0,0,1,1,1,120.0,129.1,18.0,0.0,6.0,6.0,4.0,11.25,0.0,0.0,6.0,10.0,3.0,10.333333333333334,0.0,10.8,1.4,1.74,66.66666666666666,50.0,-1.6600000000000001,0.9166666666666661,1.0,0.0,12.0,1,1.0,0,0,2.0,3.0,5.0,2.8125,13,0,0,24,33,0,0,0
0,0,0,1,1,0,0,1,19,19,125.0,114.5,18.0,0.0,7.0,11.0,6.0,11.983333333333334,0.0,0.0,8.0,12.0,8.0,12.28125,0.0,16.2,0.3,-0.92,85.71428571428571,100.0,0.533333333333335,-0.2979166666666657,1.5714285714285714,0.0,15.0,1,19.0,0,0,1.0,0.0,1.0,1.9972222222222225,11,4,1,20,29,0,0,0
0,0,0,1,1,0,0,1,1,37,148.0,132.0,18.0,0.0,7.0,7.0,6.0,13.45,0.0,0.0,7.0,7.0,6.0,13.45,0.0,7.6,2.6,0.32,85.71428571428571,85.71428571428571,0.25,0.0,1.0,0.0,14.0,1,19.0,0,0,1.0,1.0,2.0,2.2416666666666667,11,0,3,19,32,0,0,0
0,0,0,1,0,0,0,0,37,37,130.0,120.0,58.0,0.0,6.0,14.0,5.0,12.4,0.0,0.0,6.0,10.0,5.0,11.6,0.0,9.4,-0.8,-3.12,83.33333333333334,83.33333333333334,0.40000000000000036,0.8000000000000007,2.3333333333333335,0.0,12.0,1,37.0,0,0,1.0,1.0,2.0,2.48,2,7,0,24,33,0,0,0
1,0,1,0,1,0,0,1,19,38,133.1,120.0,28.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,9.4,-0.8,-3.12,0.0,0.0,-12.0,0.0,1.0,0.0,10.0,3,28.5,0,0,5.0,5.0,10.0,0.0,8,7,1,24,33,2,0,0
1,1,0,1,1,0,0,1,19,37,149.0,158.1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,1.4,1.74,0.0,0.0,-15.809999999999999,0.0,0.0,0.0,0.0,0,28.0,0,1,0.0,0.0,0.0,0.0,0,0,0,24,33,0,0,0
0,1,0,1,1,0,0,1,3,1,142.0,139.4,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,2.8,-4.06,0.0,0.0,-13.940000000000001,0.0,0.0,0.0,0.0,0,2.0,0,1,0.0,0.0,0.0,0.0,0,4,1,17,30,0,0,0
1,0,0,1,0,0,0,1,19,19,154.0,142.0,19.0,0.0,8.0,8.0,7.0,13.714285714285714,0.0,0.0,8.0,8.0,7.0,13.714285714285714,0.0,12.7,3.7,-1.7,87.5,87.5,-0.48571428571428577,0.0,1.0,0.0,16.0,1,19.0,0,0,1.0,1.0,2.0,1.9591836734693877,11,0,0,18,27,0,0,0
0,1,0,1,1,0,1,1,1,1,138.0,126.5,20.0,0.0,6.0,7.0,6.0,12.857142857142858,0.0,0.0,6.0,8.0,5.0,11.8,0.0,8.9,1.4,3.51,100.0,83.33333333333334,0.2071428571428573,1.057142857142857,1.1666666666666667,0.0,12.0,0,1.0,0,1,0.0,1.0,1.0,2.142857142857143,10,0,0,24,33,0,0,15
0,0,0,1,1,0,0,1,19,1,138.0,128.0,19.0,0.0,7.0,7.0,7.0,14.20857142857143,0.0,0.0,8.0,9.0,8.0,15.127777777777778,0.0,11.1,0.6,2.02,100.0,100.0,1.4085714285714293,-0.9192063492063482,1.0,0.0,15.0,1,10.0,0,1,0.0,0.0,0.0,2.029795918367347,11,0,1,20,29,0,0,0
0,0,0,0,0,0,0,1,37,2,140.0,140.0,23.0,0.0,3.0,3.0,2.0,10.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,10.8,1.4,1.74,66.66666666666666,0.0,-4.0,10.0,1.0,0.0,9.0,2,19.5,0,0,1.0,6.0,7.0,5.0,4,15,0,24,27,5,0,0
1,1,0,1,0,0,0,1,19,37,124.0,119.1,20.0,0.0,5.0,7.0,4.0,11.0,0.0,0.0,5.0,7.0,4.0,11.5,0.0,9.4,-0.8,-3.12,80.0,80.0,-0.9100000000000001,-0.5,1.4,0.0,10.0,0,28.0,0,0,1.0,1.0,2.0,2.75,13,0,0,20,31,0,0,0
1,0,0,1,1,0,0,1,34,34,120.0,140.0,33.0,0.0,5.0,14.0,1.0,18.0,0.0,0.0,5.0,9.0,2.0,13.0,0.0,9.4,-0.8,-3.12,20.0,40.0,4.0,5.0,2.8,0.0,10.0,1,34.0,0,0,4.0,3.0,7.0,18.0,6,7,0,0,0,0,1,0
